"","indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"2309","Q64","IBP220","Q64","Total","What information is provided in the Citizens Budget?","IBP",NA,"Score","Score","Index",3.01,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP220",""
"2310","Q101","IBP221","Q101","Total","What is the highest level of detail provided for appropriations expenditure budget in the Enacted Budget approved by the legislature?","IBP",NA,"Score","Score","Index",4.128,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP221",""
"2311","Q109","IBP222","Q109","Total","What is the most detail provided by the Citizens Budget?","IBP",NA,"Score","Score","Index",4.412,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP222",""
"2312","Q65","IBP223","Q65","Total","What is the most detail provided in the In-Year Reports on actual expenditures organized by administrative unit?","IBP",NA,"Score","Score","Index",4.01,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP223",""
"2313","Q75","IBP224","Q75","Total","What is the most detail provided in the Mid-Year Review for expenditures?","IBP",NA,"Score","Score","Index",4.076,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP224",""
"2314","Q104","IBP225","Q104","Total","What legal or regulatory restrictions are in place on the executive discretion to spend excess revenue that may become available during the budget execution period?","IBP",NA,"Score","Score","Index",4.249,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP225",""
"2315","Q80","IBP226","Q80","Total","What level of detail is the focus of the explanation of the differences between the enacted levels and the actual outcome for expenditures presented in the Year-End Report?","IBP",NA,"Score","Score","Index",4.473,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP226",""
"2316","Q47","IBP227","Q47","Total","What percentage of expenditure in the budget year is dedicated to spending on secret items relating to for instance national security and military intelligence?","IBP",NA,"Score","Score","Index",4.111,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP227",""
"2317","Q98","IBP228","Q98","Total","What percentage of expenditures within the mandate of the Supreme Audit Institution SAI has been audited?","IBP",NA,"Score","Score","Index",4.299,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP228",""
"2318","Q99","IBP229","Q99","Total","What percentage of extra-budgetary funds within the mandate of the Supreme Audit Institution SAI has been audited?","IBP",NA,"Score","Score","Index",4.393,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP229",""
"2319","Q69","IBP23","Q69","Total","Do the In-Year Reports released to the public compare actual year-to-date revenue collections with either the original estimate for that period or the same period in the previous year?","IBP",NA,"Score","Score","Index",4.018,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP23",""
"2320","Q64","IBP230","Q64","Total","What share of expenditure is covered by In-Year Reports on actual expenditure organized by administrative unit economic classification and/or function? ","IBP",NA,"Score","Score","Index",4.123,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP230",""
"2321","Q68","IBP231","Q68","Total","What share of revenue is covered by the In-Year Reports on actual revenue collections?","IBP",NA,"Score","Score","Index",4.158,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP231",""
"2322","Q97","IBP232","Q97","Total","What type of audits compliance financial or performance has the Supreme Audit Institution SAI conducted and made available to the public?","IBP",NA,"Score","Score","Index",4.18,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP232",""
"2323","t3iyr","IBP233","t3iyr","Total","When are In-Year Reports made available to the public?","IBP",NA,"Score","Score","Index",4.015,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP233",""
"2324","Q60","IBP234","Q60","Total","When does the executive release a Pre-Budget Statement to the public?","IBP",NA,"Score","Score","Index",2.07,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP234",""
"2325","Q107","IBP235","Q107","Total","When does the legislature approve the Executive Budget Proposal?","IBP",NA,"Score","Score","Index",4.098,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP235",""
"2326","Q106","IBP236","Q106","Total","When does the legislature approve the expenditure of contingency funds or other funds for which no specific purpose was identified in the Enacted Budget?","IBP",NA,"Score","Score","Index",4.202,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP236",""
"2327","Q105","IBP237","Q105","Total","When does the legislature typically approve supplemental budgets?","IBP",NA,"Score","Score","Index",4.159,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP237",""
"2328","t3eb","IBP238","t3eb","Total","When is the Enacted Budget made available to the public?","IBP",NA,"Score","Score","Index",4.404,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP238",""
"2329","t3ebp","IBP239","t3ebp","Total","When is the Executive Budget Proposal made available to the public?","IBP",NA,"Score","Score","Index",4.435,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP239",""
"2330","Q129","IBP24","Q129","Total","Do the legislative committees that hold public hearings on the budget release reports to the public on these hearings?","IBP",NA,"Score","Score","Index",4.069,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP24",""
"2331","t3pbs","IBP240","t3pbs","Total","When is the Pre-Budget Statement made available to the public?","IBP",NA,"Score","Score","Index",4.107,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP240",""
"2332","Q122","IBP241","Q122","Total","When the executive engages with the public during the budget execution, does it articulate what it hopes to achieve and provide information so the public can participate in an informed manner?","IBP",NA,"Score","Score","Index",4.051,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP241",""
"2333","Q121","IBP242","Q121","Total","When the executive engages with the public during the budget formulation; does it articulate what it hopes to achieve and provide other information advance so public participate in an informed manner?","IBP",NA,"Score","Score","Index",4.467,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP242",""
"2334","Q112","IBP243","Q112","Total","When was the most recent supplemental budget approved?","IBP",NA,"Score","Score","Index",4.471,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP243",""
"2335","Q93","IBP245","Q93","Total","Who determines the budget of the supreme audit institution SAI?","IBP",NA,"Score","Score","Index",4.038,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP245",""
"2336","Q122","IBP25","Q122","Total","Do the legislative committees that hold public hearings release reports to the public on these hearings?","IBP",NA,"Score","Score","Index",4.06,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP25",""
"2337","Q57","IBP26","Q57","Total","Does Pre-Budget Statement present estimates related to government borrowing and debt the amount of net new borrowing required during the BY the total debt outstanding at the end of the budget year?","IBP",NA,"Score","Score","Index",4.402,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP26",""
"2338","Q114","IBP27","Q114","Total","Does a committee of the legislature hold public hearings to review and scrutinize Audit Reports?","IBP",NA,"Score","Score","Index",4.317,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP27",""
"2339","Q107","IBP28","Q107","Total","Does a committee of the legislature view and scrutinize the audit reports?","IBP",NA,"Score","Score","Index",4.045,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP28",""
"2340","Q121","IBP29","Q121","Total","Does a legislative committee or committees hold public hearings on the individual budgets of central government administrative units in which testimony from the executive branch is heard?","IBP",NA,"Score","Score","Index",4.451,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP29",""
"2341","Q54","IBP3","Q54","Total","Are performance indicators used in conjunction with performance targets presented in the Executive Budget Proposal or any supporting budget documentation?","IBP",NA,"Score","Score","Index",4.144,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP3",""
"2342","Q119","IBP30","Q119","Total","Does a legislative committee or committees hold public hearings on the macroeconomic and fiscal framework presented in the budget in which testimony from the executive branch and the public is heard?","IBP",NA,"Score","Score","Index",4.253,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP30",""
